Transaction_ID,Date,Vendor_ID,Officer_ID,Amount
9d896047,2025-06-14,VEN133,OFF103,110300.0
e6fdd7af,2025-03-06,VEN145,OFF111,465100.0
93e34c35,2025-10-10,VEN108,OFF102,254100.0
28caaa1d,2025-07-15,VEN140,OFF111,180300.0
7faeb748,2025-12-10,VEN145,OFF113,693600.0
170d7507,2025-06-04,VEN118,OFF110,174800.0
3da06476,2025-03-27,VEN131,OFF101,760400.0
0cf0374c,2025-04-22,VEN101,OFF101,337200.0
d7c4fe9c,2025-09-14,VEN145,OFF101,714400.0
896490ab,2025-01-06,VEN111,OFF115,154300.0
22498f66,2025-12-11,VEN143,OFF104,457600.0
c38c1dec,2025-06-08,VEN138,OFF112,643300.0
0d18ab95,2025-08-12,VEN130,OFF110,370200.0
8da00495,2025-04-25,VEN148,OFF111,776400.0
734a6ca3,2025-10-26,VEN102,OFF113,97900.0
fd350c5f,2025-09-02,VEN107,OFF112,699300.0
20f0156a,2025-02-09,VEN145,OFF111,502000.0
fc9e1dcb,2025-05-14,VEN138,OFF114,274700.0
c14565c7,2025-02-28,VEN112,OFF112,104800.0
66c14dca,2025-07-16,VEN143,OFF104,310800.0
2314d0c8,2025-10-07,VEN132,OFF115,118100.0
84f2fd0f,2025-06-29,VEN134,OFF101,74500.0
83f82f16,2025-02-26,VEN128,OFF109,585100.0
518b2f21,2025-03-07,VEN113,OFF105,767000.0
bd44089d,2025-11-26,VEN113,OFF113,687800.0
81df6517,2025-11-20,VEN122,OFF112,358500.0
b56ff8ce,2025-08-09,VEN115,OFF106,580000.0
044251db,2025-05-26,VEN121,OFF105,440300.0
fada98f5,2025-06-13,VEN113,OFF108,640200.0
e61599c8,2025-10-11,VEN125,OFF113,162100.0
06d25913,2025-08-22,VEN132,OFF105,287800.0
a7d4cf50,2025-11-03,VEN136,OFF102,178600.0
93dfd907,2025-04-01,VEN107,OFF115,48700.0
7afeb114,2025-03-10,VEN123,OFF101,155600.0
9ea7017c,2025-10-30,VEN128,OFF103,132400.0
d25864f2,2025-09-24,VEN135,OFF104,220400.0
f2bd92f2,2025-10-02,VEN137,OFF112,376600.0
70e7e756,2025-05-04,VEN123,OFF107,415400.0
b0c4a01c,2025-03-23,VEN118,OFF106,412700.0
9c89d374,2025-12-26,VEN116,OFF113,552100.0
bc5fd4dd,2025-10-12,VEN140,OFF102,599600.0
84c86c46,2025-03-24,VEN113,OFF103,797200.0
a987b218,2025-07-07,VEN136,OFF109,83500.0
f4e95734,2025-03-11,VEN148,OFF112,347300.0
57a2be4e,2025-08-03,VEN117,OFF114,308000.0
de1e994a,2025-10-09,VEN124,OFF105,231100.0
b17cfb21,2025-04-15,VEN114,OFF105,326300.0
f5141058,2025-04-08,VEN148,OFF113,553600.0
3990e2c9,2026-01-03,VEN120,OFF109,664300.0
c56bad4c,2025-04-25,VEN142,OFF109,407500.0
b47a1c5b,2025-07-11,VEN107,OFF110,288100.0
8f7c1d59,2025-12-31,VEN105,OFF111,746300.0
46015028,2025-04-24,VEN128,OFF105,652700.0
8b0e8eb1,2025-05-30,VEN125,OFF112,193800.0
d1812f77,2025-05-17,VEN135,OFF101,158200.0
257f7595,2025-04-25,VEN139,OFF114,445000.0
b6d1f6bb,2025-02-02,VEN100,OFF114,141500.0
a7edc8d8,2025-04-12,VEN123,OFF106,372500.0
33baba88,2025-11-20,VEN126,OFF105,471100.0
8fe069b6,2025-09-30,VEN137,OFF112,244900.0
9d9d028e,2025-10-17,VEN146,OFF112,110800.0
0cfef683,2025-09-20,VEN141,OFF108,500500.0
a35055e4,2025-04-03,VEN113,OFF114,307800.0
548e1f6b,2025-10-08,VEN119,OFF115,593200.0
c550eca8,2025-02-25,VEN138,OFF108,710900.0
fa585b27,2025-12-29,VEN139,OFF114,456400.0
ef5e4376,2025-12-11,VEN121,OFF110,491100.0
a689b424,2025-03-21,VEN101,OFF115,139500.0
52380bf2,2025-04-23,VEN102,OFF113,434800.0
c4cb294f,2025-02-06,VEN113,OFF114,527500.0
88ffbd40,2025-10-16,VEN124,OFF101,783200.0
098c60b3,2025-12-23,VEN138,OFF101,516200.0
e1dace6a,2025-11-24,VEN109,OFF114,322000.0
094d916d,2025-11-23,VEN110,OFF101,429100.0
2fb21e66,2026-01-01,VEN132,OFF107,219100.0
ed10f004,2025-04-25,VEN103,OFF110,536500.0
4c636e95,2025-08-11,VEN120,OFF115,570300.0
fba57cc8,2025-05-13,VEN139,OFF104,145600.0
