Transaction_ID,Date,Vendor_ID,Officer_ID,Amount
0d366dfc,2025-03-18,VEN214,OFF111,385700.0
49bc473f,2025-06-12,VEN218,OFF101,451600.0
0763fcd0,2025-12-25,VEN214,OFF110,138200.0
b5b453ca,2025-03-01,VEN218,OFF105,302600.0
687213f9,2025-02-06,VEN206,OFF102,239100.0
1d0bc9bd,2025-06-20,VEN206,OFF105,356500.0
276aa6ce,2025-07-04,VEN201,OFF113,335200.0
b495db4e,2025-04-13,VEN213,OFF101,19600.0
78e3654b,2025-04-02,VEN212,OFF114,352600.0
30cbd755,2025-12-06,VEN210,OFF101,14400.0
22f235f2,2025-11-15,VEN203,OFF102,147200.0
dabac50d,2025-06-03,VEN209,OFF114,387500.0
44656d6b,2025-10-30,VEN213,OFF114,473400.0
d664d264,2025-08-05,VEN212,OFF101,139800.0
dd81b7f5,2025-02-26,VEN209,OFF104,250900.0
551ac8ea,2025-07-24,VEN206,OFF104,496200.0
eecf67d2,2025-04-30,VEN209,OFF114,154400.0
3d225c30,2025-07-31,VEN217,OFF114,153500.0
69288e92,2025-01-18,VEN202,OFF114,443300.0
e9d68f23,2025-10-26,VEN213,OFF110,175800.0
cada4f80,2025-10-30,VEN201,OFF106,78400.0
f6febc0e,2025-01-16,VEN212,OFF114,409900.0
54fd9ad3,2025-11-17,VEN219,OFF108,408200.0
1986b4b2,2025-07-14,VEN204,OFF101,398100.0
24e75e8e,2025-06-02,VEN210,OFF114,106600.0
1327f1bc,2025-06-23,VEN216,OFF113,92600.0
9f8ded97,2025-09-13,VEN212,OFF114,234600.0
541cdfcd,2025-11-10,VEN212,OFF106,490400.0
f4427e0b,2025-04-28,VEN216,OFF111,305900.0
7cea2045,2025-11-18,VEN218,OFF110,99300.0
3c19e71d,2025-08-22,VEN219,OFF114,285600.0
3a3c8a71,2025-10-03,VEN218,OFF101,348700.0
c2a79689,2025-08-22,VEN201,OFF102,209900.0
2a96e1e2,2025-09-14,VEN209,OFF106,388400.0
530a37df,2025-10-21,VEN213,OFF106,287000.0
6e417d47,2025-02-25,VEN213,OFF114,61200.0
ae8a7813,2025-10-20,VEN203,OFF105,254000.0
9c07a751,2025-11-17,VEN219,OFF101,455000.0
7f671eec,2025-12-03,VEN203,OFF106,209300.0
a34db7c5,2025-04-05,VEN216,OFF111,268800.0
e61ede90,2025-10-24,VEN203,OFF106,124900.0
8beddb12,2025-03-01,VEN214,OFF113,243200.0
fcd6bdca,2025-08-06,VEN219,OFF108,367100.0
b0b862ef,2025-04-04,VEN214,OFF113,203600.0
ffd6f232,2025-05-23,VEN218,OFF101,15100.0
61a11729,2025-07-31,VEN209,OFF104,245600.0
b303f438,2025-04-21,VEN204,OFF111,106800.0
6553867d,2025-04-13,VEN201,OFF106,55300.0
c73f6e1b,2025-10-02,VEN210,OFF106,359300.0
bec39a37,2025-07-03,VEN201,OFF101,292800.0
c696f5e6,2025-10-22,VEN210,OFF101,26400.0
3810ae66,2025-08-24,VEN214,OFF109,255200.0
c16d83ed,2025-09-23,VEN219,OFF111,312400.0
2303f6c6,2025-08-20,VEN207,OFF106,244800.0
0a17991e,2025-04-26,VEN211,OFF109,209600.0
5d678bb1,2025-09-28,VEN216,OFF114,96500.0
53a3dd5a,2025-10-03,VEN207,OFF113,363700.0
c958e75e,2025-07-19,VEN202,OFF109,497100.0
80759f1f,2025-12-03,VEN209,OFF111,135400.0
e9ff1cae,2025-10-31,VEN209,OFF113,58800.0
4b8e63d4,2025-10-03,VEN211,OFF110,363400.0
77e490c7,2025-12-21,VEN211,OFF106,410400.0
39c1e262,2025-11-13,VEN203,OFF110,326100.0
65bcc272,2025-12-23,VEN209,OFF101,467000.0
171e16cc,2025-10-19,VEN209,OFF110,373900.0
1fa382e8,2025-06-18,VEN203,OFF113,271400.0
431d029f,2025-08-04,VEN217,OFF105,380900.0
5f18e583,2025-02-11,VEN206,OFF105,310300.0
9e9a9f83,2025-11-22,VEN218,OFF101,271500.0
9c2e58de,2025-03-25,VEN204,OFF106,99700.0
76da3ca0,2025-12-01,VEN220,OFF113,23600.0
1dde7969,2025-02-23,VEN203,OFF102,458100.0
fef518a6,2025-07-02,VEN206,OFF104,407500.0
899ca782,2025-02-21,VEN213,OFF101,109700.0
f30a9e32,2025-10-01,VEN201,OFF114,326800.0
965befdf,2025-10-01,VEN209,OFF114,168800.0
a7a8f636,2025-02-08,VEN211,OFF108,258400.0
f065c817,2025-12-17,VEN206,OFF101,473900.0
379efc6e,2025-06-14,VEN201,OFF110,66500.0
5cd8fe1a,2025-02-08,VEN211,OFF110,109800.0
FRAUD_LINK_1,2026-01-04,VEN205,OFF103,450000.0
FRAUD_SMURF_0,2026-01-04,VEN208,OFF107,495000.0
FRAUD_SMURF_1,2026-01-04,VEN208,OFF107,495000.0
FRAUD_SMURF_2,2026-01-04,VEN208,OFF107,495000.0
FRAUD_BIG_1,2025-09-10,VEN210,OFF112,55000000.0
FRAUD_SHELL_1,2026-01-04,VEN215,OFF115,1200000.0
